Id,File_name,Country,City,Address,Lat,Long,Streetview,Lat_decimal,Long_decimal,Text,Color,Background_color,Weight,Case,Composition,Image,@img
11,britannic11,Italy,Milano,via Aleardi,"45° 29' 0.36"" N","9° 10' 22.182"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658027815!6m8!1m7!1sNaQWBoMoc9hBPVhi9QY0yg!2m2!1d45.483263!2d9.172918!3f60.68!4f0.9853126647814747!5f0.7820865974627469,45.483417,9.172806,PSG,#000000,#ffffff,ultra,uppercase,horizontal,https://images.unsplash.com/photo-1725294692057-12a381e1f6fd?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDE0OXw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_011.jpg
12,britannic12,Italy,Imbersago,via Contessa Castelbarco,"45° 42' 16.62"" N","9° 26' 42.66"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658004984!6m8!1m7!1suHQ4S4Q6m5p_5RQtQUGR0A!2m2!1d45.704638!2d9.445091!3f139.91324742412792!4f-0.33299595827837436!5f0.5558513211981521,45.704611,9.445167,Al Caffè paninoteca bar gelateria,#00b37d,#ffffff,bold,uppercase,horizontal,https://images.unsplash.com/photo-1723941839547-1e3e7d168173?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDE2OXw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_012.jpg
13,britannic13,Italy,Milano,via Albricci,"45° 27' 38.022"" N","9° 11' 20.982"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435657936451!6m8!1m7!1skf_VBY196niujdAKTlCx9Q!2m2!1d45.460942!2d9.189207!3f1.4443343993157738!4f-1.8338548168698878!5f2.299968626952992,45.460556,9.189139,Affittasi box 0276008484,#ed1c24,#ffcb05,bold,uppercase,horizontal,https://images.unsplash.com/photo-1496706855297-b6e1fe527339?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDIzOHw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_013.jpg
14,britannic14,Italy,Milano,via Paolo Sarpi,"45° 28' 52.752"" N","9° 10' 31.278"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435657891135!6m8!1m7!1sBPkEUILE6_Gq10n-UbbTng!2m2!1d45.481335!2d9.175191!3f174.93904296630126!4f-0.9904824573676052!5f0.7820865974627469,45.481306,9.175333,Zampe di pollo cotte 100g,#000000,#ffcb05,bold,uppercase,horizontal,https://images.unsplash.com/photo-1724508772090-020b21b14da6?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDI3MXw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_014.jpg
15,britannic15,Italy,Palermo,via Bottai,"38° 7' 5.178"" N","13° 21' 58.872"" E",http://www.peradesso.com/progetti/britannic/error/error.html,38.117633,13.367311,Panini con porchetta,#ffcb05,,bold,uppercase,horizontal,https://images.unsplash.com/photo-1724597233378-249fd99848b0?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDMzM3w2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_015.jpg
16,britannic16,Italy,Ragusa,Corso XXV Aprile,"36° 55' 33.288"" N","14° 44' 49.26"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435657837214!6m8!1m7!1sCrZUMJgZo2K-hLMqJwcLoA!2m2!1d36.925612!2d14.747031!3f185.55839623224045!4f-7.297069490915845!5f0.7820865974627469,36.925913,14.747017,Propone: Panini alla piastra per tutti i gusti ed et&agrave; - Patatine fritte Kebab Pincho,#ffffff,#000000,bold,uppercase,horizontal,https://images.unsplash.com/photo-1723920449193-cba2f39a4d0c?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDM1NXw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_016.jpg
17,britannic17,Italy,Palermo,via Carlo Rao,"38° 6' 46.152"" N","13° 22' 12.738"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435657806658!6m8!1m7!1suZ3UwCrrmof2_4iNgViGFQ!2m2!1d38.112785!2d13.370373!3f237.91!4f-1.3400000000000034!5f0.7820865974627469,38.112725,13.37029,Davide Supporta,#ed1c24,#ffcb05,bold,uppercase,horizontal,https://images.unsplash.com/photo-1660678519362-2099db408451?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDM5OXw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_017.jpg
18,britannic18,Italy,Mantova,Piazza Delle Erbe,"45° 9' 31.08"" N","10° 47' 41.628"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435657779986!6m8!1m7!1sO9G-VvgFTWOqei-Y-CI_pg!2m2!1d45.158704!2d10.794808!3f79.02!4f-0.15000000000000568!5f2.299968626952992,45.158633,10.794897,SFIZIO,#000000,#ffffff,bold,lowercase,vertical,https://images.unsplash.com/photo-1722846324724-2cb3f396358c?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDQwOXw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_018.jpg
19,britannic19,Turkey,Istanbul,Kapalıçarşı,"41° 0' 35.748"" N","28° 57' 56.028"" E","https://www.google.it/maps/place/41%C2%B000'35.8%22N+28%C2%B057'56.0%22E/@41.010507,28.9684709,244m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0",41.009997,28.968157,Do not put garbage here please ,#000000,#ffffff,bold,lowercase,horizontal,https://images.unsplash.com/photo-1723845629153-7e0d0a5e44c3?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDQyNXw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_019.jpg
20,britannic20,Italy,Milano,via Quintosole,"45° 24' 11.4"" N","9° 12' 25.872"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435657608060!6m8!1m7!1szXAkzo-cZqf1ejmbdB62Qg!2m2!1d45.403211!2d9.207317!3f43.2!4f-5.349999999999994!5f1.6715533031636123,45.403194,9.207371,Autoparco,#034ea2,#ffffff,bold,uppercase,horizontal,https://images.unsplash.com/photo-1723712286025-1eb6a851420a?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDQzOHw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_020.jpg
21,britannic21,Sweden,Stockholm,Gamla Brogatan,"59° 20' 1.86"" N","18° 3' 33.558"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1442910659881!6m8!1m7!1sE6hsMzfmWTsAAAQZa-AKVw!2m2!1d59.33373507113057!2d18.05933383848037!3f332.8415224666898!4f-4.050820094910321!5f0.4000000000000002,59.333866,18.059345,REA,#ed1c24,#ffffff,bold,uppercase,horizontal,https://images.unsplash.com/photo-1723576016880-6d388559351a?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDQ0MHw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_021.jpg
22,britannic22,Austria,Wien,Josefsplatz,"48° 12' 24.078"" N","16° 22' 1.89"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435657557074!6m8!1m7!1sHJsYolYeJDwAAAGuq7QiZA!2m2!1d48.206409!2d16.367401!3f78.69!4f10.230000000000004!5f0.4000000000000002,48.206688,16.367192,Konzert,#ffcb05,#a68352,bold,uppercase,horizontal,https://images.unsplash.com/photo-1723645579079-58a107f1d852?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDQ1NXw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_022.jpg
